sigma_between,condition,trial,gap_fraction,G_achieved,G_random,G_oracle
0.00,C_PP,28,0.755419,1.037507,0.867307,1.092613
0.00,D,28,1.000000,1.092613,0.867307,1.092613
0.00,Z,29,0.000000,0.728314,0.867307,1.092613
0.00,A,29,0.755419,1.037507,0.867307,1.092613
0.00,C_CN,29,0.755419,1.037507,0.867307,1.092613
0.00,C_PP,29,0.755419,1.037507,0.867307,1.092613
0.00,D,29,1.000000,1.092613,0.867307,1.092613
0.30,Z,0,0.242316,0.918392,0.863413,1.090300
0.30,A,0,0.750156,1.033613,0.863413,1.090300
0.30,C_CN,0,0.750156,1.033613,0.863413,1.090300
0.30,C_PP,0,0.750156,1.033613,0.863413,1.090300
0.30,D,0,1.000000,1.090300,0.863413,1.090300
0.30,Z,1,0.750156,1.033613,0.863413,1.090300
0.30,A,1,0.750156,1.033613,0.863413,1.090300
0.30,C_CN,1,0.750156,1.033613,0.863413,1.090300
0.30,C_PP,1,0.750156,1.033613,0.863413,1.090300
0.30,D,1,1.000000,1.090300,0.863413,1.090300
0.30,Z,2,0.214948,0.912182,0.863413,1.090300
0.30,A,2,0.750156,1.033613,0.863413,1.090300
0.30,C_CN,2,0.750156,1.033613,0.863413,1.090300
0.30,C_PP,2,0.750156,1.033613,0.863413,1.090300
0.30,D,2,1.000000,1.090300,0.863413,1.090300
0.30,Z,3,0.750156,1.033613,0.863413,1.090300
0.30,A,3,0.750156,1.033613,0.863413,1.090300
0.30,C_CN,3,0.750156,1.033613,0.863413,1.090300
0.30,C_PP,3,0.750156,1.033613,0.863413,1.090300
0.30,D,3,1.000000,1.090300,0.863413,1.090300
0.30,Z,4,0.000000,0.739057,0.863413,1.090300
0.30,A,4,0.750156,1.033613,0.863413,1.090300
0.30,C_CN,4,0.750156,1.033613,0.863413,1.090300
0.30,C_PP,4,0.750156,1.033613,0.863413,1.090300
0.30,D,4,1.000000,1.090300,0.863413,1.090300
0.30,Z,5,0.242316,0.918392,0.863413,1.090300
0.30,A,5,0.750156,1.033613,0.863413,1.090300
0.30,C_CN,5,0.750156,1.033613,0.863413,1.090300
0.30,C_PP,5,0.750156,1.033613,0.863413,1.090300
0.30,D,5,1.000000,1.090300,0.863413,1.090300
0.30,Z,6,0.000000,0.728170,0.863413,1.090300
0.30,A,6,0.750156,1.033613,0.863413,1.090300
0.30,C_CN,6,0.750156,1.033613,0.863413,1.090300
0.30,C_PP,6,0.750156,1.033613,0.863413,1.090300
0.30,D,6,1.000000,1.090300,0.863413,1.090300
0.30,Z,7,0.750156,1.033613,0.863413,1.090300
0.30,A,7,0.750156,1.033613,0.863413,1.090300
0.30,C_CN,7,0.750156,1.033613,0.863413,1.090300
0.30,C_PP,7,0.750156,1.033613,0.863413,1.090300
0.30,D,7,1.000000,1.090300,0.863413,1.090300
0.30,Z,8,0.242316,0.918392,0.863413,1.090300
0.30,A,8,0.750156,1.033613,0.863413,1.090300
0.30,C_CN,8,0.750156,1.033613,0.863413,1.090300
0.30,C_PP,8,0.750156,1.033613,0.863413,1.090300
0.30,D,8,1.000000,1.090300,0.863413,1.090300
0.30,Z,9,0.000000,0.739057,0.863413,1.090300
0.30,A,9,0.750156,1.033613,0.863413,1.090300
0.30,C_CN,9,0.750156,1.033613,0.863413,1.090300
0.30,C_PP,9,0.750156,1.033613,0.863413,1.090300
0.30,D,9,1.000000,1.090300,0.863413,1.090300
0.30,Z,10,0.750156,1.033613,0.863413,1.090300
0.30,A,10,0.750156,1.033613,0.863413,1.090300
0.30,C_CN,10,0.750156,1.033613,0.863413,1.090300
0.30,C_PP,10,0.750156,1.033613,0.863413,1.090300
0.30,D,10,1.000000,1.090300,0.863413,1.090300
0.30,Z,11,0.750156,1.033613,0.863413,1.090300
0.30,A,11,0.750156,1.033613,0.863413,1.090300
0.30,C_CN,11,0.750156,1.033613,0.863413,1.090300
0.30,C_PP,11,0.750156,1.033613,0.863413,1.090300
0.30,D,11,1.000000,1.090300,0.863413,1.090300
0.30,Z,12,0.000000,0.845300,0.863413,1.090300
0.30,A,12,0.750156,1.033613,0.863413,1.090300
0.30,C_CN,12,0.750156,1.033613,0.863413,1.090300
0.30,C_PP,12,0.750156,1.033613,0.863413,1.090300
0.30,D,12,1.000000,1.090300,0.863413,1.090300
0.30,Z,13,0.162946,0.900384,0.863413,1.090300
0.30,A,13,0.750156,1.033613,0.863413,1.090300
0.30,C_CN,13,0.750156,1.033613,0.863413,1.090300
0.30,C_PP,13,0.750156,1.033613,0.863413,1.090300
0.30,D,13,1.000000,1.090300,0.863413,1.090300
0.30,Z,14,0.000000,0.739057,0.863413,1.090300
0.30,A,14,0.750156,1.033613,0.863413,1.090300
0.30,C_CN,14,0.750156,1.033613,0.863413,1.090300
0.30,C_PP,14,0.750156,1.033613,0.863413,1.090300
0.30,D,14,1.000000,1.090300,0.863413,1.090300
0.30,Z,15,0.117990,0.890184,0.863413,1.090300
0.30,A,15,0.750156,1.033613,0.863413,1.090300
0.30,C_CN,15,0.750156,1.033613,0.863413,1.090300
0.30,C_PP,15,0.750156,1.033613,0.863413,1.090300
0.30,D,15,1.000000,1.090300,0.863413,1.090300
0.30,Z,16,0.000000,0.739057,0.863413,1.090300
0.30,A,16,0.750156,1.033613,0.863413,1.090300
0.30,C_CN,16,0.750156,1.033613,0.863413,1.090300
0.30,C_PP,16,0.750156,1.033613,0.863413,1.090300
0.30,D,16,1.000000,1.090300,0.863413,1.090300
0.30,Z,17,0.266308,0.923835,0.863413,1.090300
0.30,A,17,0.750156,1.033613,0.863413,1.090300
0.30,C_CN,17,0.750156,1.033613,0.863413,1.090300
0.30,C_PP,17,0.750156,1.033613,0.863413,1.090300
0.30,D,17,1.000000,1.090300,0.863413,1.090300
0.30,Z,18,0.750156,1.033613,0.863413,1.090300
0.30,A,18,0.750156,1.033613,0.863413,1.090300
0.30,C_CN,18,0.750156,1.033613,0.863413,1.090300
0.30,C_PP,18,0.750156,1.033613,0.863413,1.090300
0.30,D,18,1.000000,1.090300,0.863413,1.090300
0.30,Z,19,0.000000,0.728170,0.863413,1.090300
0.30,A,19,0.750156,1.033613,0.863413,1.090300
0.30,C_CN,19,0.750156,1.033613,0.863413,1.090300
0.30,C_PP,19,0.750156,1.033613,0.863413,1.090300
0.30,D,19,1.000000,1.090300,0.863413,1.090300
0.30,Z,20,0.242316,0.918392,0.863413,1.090300
0.30,A,20,0.750156,1.033613,0.863413,1.090300
0.30,C_CN,20,0.750156,1.033613,0.863413,1.090300
0.30,C_PP,20,0.750156,1.033613,0.863413,1.090300
0.30,D,20,1.000000,1.090300,0.863413,1.090300
0.30,Z,21,0.000000,0.840187,0.863413,1.090300
0.30,A,21,0.750156,1.033613,0.863413,1.090300
0.30,C_CN,21,0.750156,1.033613,0.863413,1.090300
0.30,C_PP,21,0.750156,1.033613,0.863413,1.090300
0.30,D,21,1.000000,1.090300,0.863413,1.090300
0.30,Z,22,0.266308,0.923835,0.863413,1.090300
0.30,A,22,0.750156,1.033613,0.863413,1.090300
0.30,C_CN,22,0.750156,1.033613,0.863413,1.090300
0.30,C_PP,22,0.750156,1.033613,0.863413,1.090300
0.30,D,22,1.000000,1.090300,0.863413,1.090300
0.30,Z,23,0.266308,0.923835,0.863413,1.090300
0.30,A,23,0.750156,1.033613,0.863413,1.090300
0.30,C_CN,23,0.750156,1.033613,0.863413,1.090300
0.30,C_PP,23,0.750156,1.033613,0.863413,1.090300
0.30,D,23,1.000000,1.090300,0.863413,1.090300
0.30,Z,24,0.242316,0.918392,0.863413,1.090300
0.30,A,24,0.750156,1.033613,0.863413,1.090300
