distribution,spillover_config,condition,trial,gap_fraction,G_achieved,G_random,G_oracle,n_attacked_bundles
P5,centrist,C_PP_ADV,13,0.278967,0.793695,0.728095,0.963249,4
P5,centrist,D,13,1.000000,0.963249,0.728095,0.963249,4
P5,centrist,Z,14,0.000000,0.667753,0.728095,0.963249,3
P5,centrist,A,14,0.000000,0.582494,0.728095,0.963249,3
P5,centrist,C_CN,14,0.723781,0.898295,0.728095,0.963249,3
P5,centrist,C_CN_ADV,14,0.723781,0.898295,0.728095,0.963249,3
P5,centrist,C_PP,14,0.723781,0.898295,0.728095,0.963249,3
P5,centrist,C_PP_ADV,14,0.278967,0.793695,0.728095,0.963249,3
P5,centrist,D,14,1.000000,0.963249,0.728095,0.963249,3
P5,centrist,Z,15,0.000000,0.582494,0.728095,0.963249,4
P5,centrist,A,15,0.000000,0.582494,0.728095,0.963249,4
P5,centrist,C_CN,15,0.723781,0.898295,0.728095,0.963249,4
P5,centrist,C_CN_ADV,15,0.000000,0.717811,0.728095,0.963249,4
P5,centrist,C_PP,15,0.723781,0.898295,0.728095,0.963249,4
P5,centrist,C_PP_ADV,15,0.278967,0.793695,0.728095,0.963249,4
P5,centrist,D,15,1.000000,0.963249,0.728095,0.963249,4
P5,centrist,Z,16,0.278967,0.793695,0.728095,0.963249,5
P5,centrist,A,16,0.000000,0.582494,0.728095,0.963249,5
P5,centrist,C_CN,16,0.723781,0.898295,0.728095,0.963249,5
P5,centrist,C_CN_ADV,16,0.723781,0.898295,0.728095,0.963249,5
P5,centrist,C_PP,16,0.723781,0.898295,0.728095,0.963249,5
P5,centrist,C_PP_ADV,16,0.278967,0.793695,0.728095,0.963249,5
P5,centrist,D,16,1.000000,0.963249,0.728095,0.963249,5
P5,centrist,Z,17,0.345971,0.809451,0.728095,0.963249,5
P5,centrist,A,17,0.000000,0.582494,0.728095,0.963249,5
P5,centrist,C_CN,17,0.723781,0.898295,0.728095,0.963249,5
P5,centrist,C_CN_ADV,17,0.723781,0.898295,0.728095,0.963249,5
P5,centrist,C_PP,17,0.723781,0.898295,0.728095,0.963249,5
P5,centrist,C_PP_ADV,17,0.278967,0.793695,0.728095,0.963249,5
P5,centrist,D,17,1.000000,0.963249,0.728095,0.963249,5
P5,centrist,Z,18,0.211775,0.777894,0.728095,0.963249,4
P5,centrist,A,18,0.000000,0.582494,0.728095,0.963249,4
P5,centrist,C_CN,18,0.723781,0.898295,0.728095,0.963249,4
P5,centrist,C_CN_ADV,18,0.723781,0.898295,0.728095,0.963249,4
P5,centrist,C_PP,18,0.723781,0.898295,0.728095,0.963249,4
P5,centrist,C_PP_ADV,18,0.278967,0.793695,0.728095,0.963249,4
P5,centrist,D,18,1.000000,0.963249,0.728095,0.963249,4
P5,centrist,Z,19,0.723781,0.898295,0.728095,0.963249,4
P5,centrist,A,19,0.000000,0.582494,0.728095,0.963249,4
P5,centrist,C_CN,19,0.723781,0.898295,0.728095,0.963249,4
P5,centrist,C_CN_ADV,19,0.723781,0.898295,0.728095,0.963249,4
P5,centrist,C_PP,19,0.723781,0.898295,0.728095,0.963249,4
P5,centrist,C_PP_ADV,19,0.278967,0.793695,0.728095,0.963249,4
P5,centrist,D,19,1.000000,0.963249,0.728095,0.963249,4
P5,centrist,Z,20,0.278967,0.793695,0.728095,0.963249,4
P5,centrist,A,20,0.000000,0.582494,0.728095,0.963249,4
P5,centrist,C_CN,20,0.723781,0.898295,0.728095,0.963249,4
P5,centrist,C_CN_ADV,20,0.723781,0.898295,0.728095,0.963249,4
P5,centrist,C_PP,20,0.723781,0.898295,0.728095,0.963249,4
P5,centrist,C_PP_ADV,20,0.278967,0.793695,0.728095,0.963249,4
P5,centrist,D,20,1.000000,0.963249,0.728095,0.963249,4
P5,centrist,Z,21,0.000000,0.614095,0.728095,0.963249,5
P5,centrist,A,21,0.000000,0.582494,0.728095,0.963249,5
P5,centrist,C_CN,21,0.723781,0.898295,0.728095,0.963249,5
P5,centrist,C_CN_ADV,21,0.723781,0.898295,0.728095,0.963249,5
P5,centrist,C_PP,21,0.723781,0.898295,0.728095,0.963249,5
P5,centrist,C_PP_ADV,21,0.278967,0.793695,0.728095,0.963249,5
P5,centrist,D,21,1.000000,0.963249,0.728095,0.963249,5
P5,centrist,Z,22,0.723781,0.898295,0.728095,0.963249,4
P5,centrist,A,22,0.000000,0.582494,0.728095,0.963249,4
P5,centrist,C_CN,22,0.723781,0.898295,0.728095,0.963249,4
P5,centrist,C_CN_ADV,22,0.723781,0.898295,0.728095,0.963249,4
P5,centrist,C_PP,22,0.723781,0.898295,0.728095,0.963249,4
P5,centrist,C_PP_ADV,22,0.278967,0.793695,0.728095,0.963249,4
P5,centrist,D,22,1.000000,0.963249,0.728095,0.963249,4
P5,centrist,Z,23,0.211775,0.777894,0.728095,0.963249,3
P5,centrist,A,23,0.000000,0.582494,0.728095,0.963249,3
P5,centrist,C_CN,23,0.723781,0.898295,0.728095,0.963249,3
P5,centrist,C_CN_ADV,23,0.723781,0.898295,0.728095,0.963249,3
P5,centrist,C_PP,23,0.723781,0.898295,0.728095,0.963249,3
P5,centrist,C_PP_ADV,23,0.278967,0.793695,0.728095,0.963249,3
P5,centrist,D,23,1.000000,0.963249,0.728095,0.963249,3
P5,centrist,Z,24,0.723781,0.898295,0.728095,0.963249,4
P5,centrist,A,24,0.000000,0.582494,0.728095,0.963249,4
P5,centrist,C_CN,24,0.723781,0.898295,0.728095,0.963249,4
P5,centrist,C_CN_ADV,24,0.723781,0.898295,0.728095,0.963249,4
P5,centrist,C_PP,24,0.723781,0.898295,0.728095,0.963249,4
P5,centrist,C_PP_ADV,24,0.278967,0.793695,0.728095,0.963249,4
P5,centrist,D,24,1.000000,0.963249,0.728095,0.963249,4
P5,centrist,Z,25,0.278967,0.793695,0.728095,0.963249,4
P5,centrist,A,25,0.000000,0.582494,0.728095,0.963249,4
P5,centrist,C_CN,25,0.723781,0.898295,0.728095,0.963249,4
P5,centrist,C_CN_ADV,25,0.000000,0.726956,0.728095,0.963249,4
P5,centrist,C_PP,25,0.723781,0.898295,0.728095,0.963249,4
P5,centrist,C_PP_ADV,25,0.278967,0.793695,0.728095,0.963249,4
P5,centrist,D,25,1.000000,0.963249,0.728095,0.963249,4
P5,centrist,Z,26,0.000000,0.614095,0.728095,0.963249,4
P5,centrist,A,26,0.000000,0.582494,0.728095,0.963249,4
P5,centrist,C_CN,26,0.723781,0.898295,0.728095,0.963249,4
P5,centrist,C_CN_ADV,26,0.723781,0.898295,0.728095,0.963249,4
P5,centrist,C_PP,26,0.723781,0.898295,0.728095,0.963249,4
P5,centrist,C_PP_ADV,26,0.278967,0.793695,0.728095,0.963249,4
P5,centrist,D,26,1.000000,0.963249,0.728095,0.963249,4
P5,centrist,Z,27,0.000000,0.614095,0.728095,0.963249,3
P5,centrist,A,27,0.000000,0.582494,0.728095,0.963249,3
P5,centrist,C_CN,27,0.723781,0.898295,0.728095,0.963249,3
P5,centrist,C_CN_ADV,27,0.000000,0.712121,0.728095,0.963249,3
P5,centrist,C_PP,27,0.723781,0.898295,0.728095,0.963249,3
P5,centrist,C_PP_ADV,27,0.278967,0.793695,0.728095,0.963249,3
P5,centrist,D,27,1.000000,0.963249,0.728095,0.963249,3
P5,centrist,Z,28,0.276878,0.793204,0.728095,0.963249,3
P5,centrist,A,28,0.000000,0.582494,0.728095,0.963249,3
P5,centrist,C_CN,28,0.723781,0.898295,0.728095,0.963249,3
P5,centrist,C_CN_ADV,28,0.276878,0.793204,0.728095,0.963249,3
P5,centrist,C_PP,28,0.723781,0.898295,0.728095,0.963249,3
P5,centrist,C_PP_ADV,28,0.276878,0.793204,0.728095,0.963249,3
P5,centrist,D,28,1.000000,0.963249,0.728095,0.963249,3
P5,centrist,Z,29,0.000000,0.644981,0.728095,0.963249,4
P5,centrist,A,29,0.000000,0.582494,0.728095,0.963249,4
P5,centrist,C_CN,29,0.723781,0.898295,0.728095,0.963249,4
P5,centrist,C_CN_ADV,29,0.058459,0.741842,0.728095,0.963249,4
P5,centrist,C_PP,29,0.723781,0.898295,0.728095,0.963249,4
P5,centrist,C_PP_ADV,29,0.278967,0.793695,0.728095,0.963249,4
P5,centrist,D,29,1.000000,0.963249,0.728095,0.963249,4
P5,centrist,Z,30,0.000000,0.695027,0.728095,0.963249,3
P5,centrist,A,30,0.000000,0.582494,0.728095,0.963249,3
P5,centrist,C_CN,30,0.723781,0.898295,0.728095,0.963249,3
P5,centrist,C_CN_ADV,30,0.078048,0.746448,0.728095,0.963249,3
P5,centrist,C_PP,30,0.723781,0.898295,0.728095,0.963249,3
P5,centrist,C_PP_ADV,30,0.278967,0.793695,0.728095,0.963249,3
P5,centrist,D,30,1.000000,0.963249,0.728095,0.963249,3
P5,centrist,Z,31,0.000000,0.582494,0.728095,0.963249,3
P5,centrist,A,31,0.000000,0.582494,0.728095,0.963249,3
P5,centrist,C_CN,31,0.723781,0.898295,0.728095,0.963249,3
P5,centrist,C_CN_ADV,31,0.027858,0.734645,0.728095,0.963249,3
P5,centrist,C_PP,31,0.723781,0.898295,0.728095,0.963249,3
P5,centrist,C_PP_ADV,31,0.278967,0.793695,0.728095,0.963249,3
P5,centrist,D,31,1.000000,0.963249,0.728095,0.963249,3
P5,centrist,Z,32,0.136250,0.760134,0.728095,0.963249,5
P5,centrist,A,32,0.000000,0.582494,0.728095,0.963249,5
P5,centrist,C_CN,32,0.723781,0.898295,0.728095,0.963249,5
P5,centrist,C_CN_ADV,32,0.723781,0.898295,0.728095,0.963249,5
P5,centrist,C_PP,32,0.723781,0.898295,0.728095,0.963249,5
P5,centrist,C_PP_ADV,32,0.278967,0.793695,0.728095,0.963249,5
P5,centrist,D,32,1.000000,0.963249,0.728095,0.963249,5
P5,centrist,Z,33,0.000000,0.582494,0.728095,0.963249,4
P5,centrist,A,33,0.000000,0.582494,0.728095,0.963249,4
P5,centrist,C_CN,33,0.723781,0.898295,0.728095,0.963249,4
P5,centrist,C_CN_ADV,33,0.723781,0.898295,0.728095,0.963249,4
P5,centrist,C_PP,33,0.723781,0.898295,0.728095,0.963249,4
P5,centrist,C_PP_ADV,33,0.278967,0.793695,0.728095,0.963249,4
P5,centrist,D,33,1.000000,0.963249,0.728095,0.963249,4
P5,centrist,Z,34,0.000000,0.706028,0.728095,0.963249,5
P5,centrist,A,34,0.000000,0.582494,0.728095,0.963249,5
P5,centrist,C_CN,34,0.723781,0.898295,0.728095,0.963249,5
P5,centrist,C_CN_ADV,34,0.723781,0.898295,0.728095,0.963249,5
P5,centrist,C_PP,34,0.723781,0.898295,0.728095,0.963249,5
P5,centrist,C_PP_ADV,34,0.278967,0.793695,0.728095,0.963249,5
P5,centrist,D,34,1.000000,0.963249,0.728095,0.963249,5
P5,centrist,Z,35,0.723781,0.898295,0.728095,0.963249,5
P5,centrist,A,35,0.000000,0.582494,0.728095,0.963249,5
P5,centrist,C_CN,35,0.723781,0.898295,0.728095,0.963249,5
P5,centrist,C_CN_ADV,35,0.723781,0.898295,0.728095,0.963249,5
P5,centrist,C_PP,35,0.723781,0.898295,0.728095,0.963249,5
P5,centrist,C_PP_ADV,35,0.278967,0.793695,0.728095,0.963249,5
P5,centrist,D,35,1.000000,0.963249,0.728095,0.963249,5
P5,centrist,Z,36,0.000000,0.614095,0.728095,0.963249,4
P5,centrist,A,36,0.000000,0.582494,0.728095,0.963249,4
P5,centrist,C_CN,36,0.723781,0.898295,0.728095,0.963249,4
P5,centrist,C_CN_ADV,36,0.105997,0.753020,0.728095,0.963249,4
P5,centrist,C_PP,36,0.723781,0.898295,0.728095,0.963249,4
P5,centrist,C_PP_ADV,36,0.278967,0.793695,0.728095,0.963249,4
P5,centrist,D,36,1.000000,0.963249,0.728095,0.963249,4
P5,centrist,Z,37,0.000000,0.582494,0.728095,0.963249,4
P5,centrist,A,37,0.000000,0.582494,0.728095,0.963249,4
P5,centrist,C_CN,37,0.723781,0.898295,0.728095,0.963249,4
P5,centrist,C_CN_ADV,37,0.723781,0.898295,0.728095,0.963249,4
P5,centrist,C_PP,37,0.723781,0.898295,0.728095,0.963249,4
P5,centrist,C_PP_ADV,37,0.278967,0.793695,0.728095,0.963249,4
P5,centrist,D,37,1.000000,0.963249,0.728095,0.963249,4
P5,centrist,Z,38,0.723781,0.898295,0.728095,0.963249,4
P5,centrist,A,38,0.000000,0.582494,0.728095,0.963249,4
P5,centrist,C_CN,38,0.723781,0.898295,0.728095,0.963249,4
P5,centrist,C_CN_ADV,38,0.723781,0.898295,0.728095,0.963249,4
P5,centrist,C_PP,38,0.723781,0.898295,0.728095,0.963249,4
P5,centrist,C_PP_ADV,38,0.278967,0.793695,0.728095,0.963249,4
P5,centrist,D,38,1.000000,0.963249,0.728095,0.963249,4
P5,centrist,Z,39,0.278967,0.793695,0.728095,0.963249,5
P5,centrist,A,39,0.000000,0.582494,0.728095,0.963249,5
P5,centrist,C_CN,39,0.723781,0.898295,0.728095,0.963249,5
P5,centrist,C_CN_ADV,39,0.723781,0.898295,0.728095,0.963249,5
P5,centrist,C_PP,39,0.723781,0.898295,0.728095,0.963249,5
P5,centrist,C_PP_ADV,39,0.278967,0.793695,0.728095,0.963249,5
P5,centrist,D,39,1.000000,0.963249,0.728095,0.963249,5
P5,centrist,Z,40,0.000000,0.614095,0.728095,0.963249,4
P5,centrist,A,40,0.000000,0.582494,0.728095,0.963249,4
P5,centrist,C_CN,40,0.723781,0.898295,0.728095,0.963249,4
P5,centrist,C_CN_ADV,40,0.723781,0.898295,0.728095,0.963249,4
P5,centrist,C_PP,40,0.723781,0.898295,0.728095,0.963249,4
P5,centrist,C_PP_ADV,40,0.278967,0.793695,0.728095,0.963249,4
P5,centrist,D,40,1.000000,0.963249,0.728095,0.963249,4
P5,centrist,Z,41,0.225528,0.781128,0.728095,0.963249,4
P5,centrist,A,41,0.000000,0.582494,0.728095,0.963249,4
P5,centrist,C_CN,41,0.723781,0.898295,0.728095,0.963249,4
P5,centrist,C_CN_ADV,41,0.723781,0.898295,0.728095,0.963249,4
P5,centrist,C_PP,41,0.723781,0.898295,0.728095,0.963249,4
P5,centrist,C_PP_ADV,41,0.278967,0.793695,0.728095,0.963249,4
P5,centrist,D,41,1.000000,0.963249,0.728095,0.963249,4
P5,centrist,Z,42,0.000000,0.582494,0.728095,0.963249,4
P5,centrist,A,42,0.000000,0.582494,0.728095,0.963249,4
P5,centrist,C_CN,42,0.723781,0.898295,0.728095,0.963249,4
P5,centrist,C_CN_ADV,42,0.723781,0.898295,0.728095,0.963249,4
P5,centrist,C_PP,42,0.723781,0.898295,0.728095,0.963249,4
P5,centrist,C_PP_ADV,42,0.278967,0.793695,0.728095,0.963249,4
P5,centrist,D,42,1.000000,0.963249,0.728095,0.963249,4
P5,centrist,Z,43,0.211775,0.777894,0.728095,0.963249,4
P5,centrist,A,43,0.000000,0.582494,0.728095,0.963249,4
P5,centrist,C_CN,43,0.723781,0.898295,0.728095,0.963249,4
P5,centrist,C_CN_ADV,43,0.723781,0.898295,0.728095,0.963249,4
P5,centrist,C_PP,43,0.723781,0.898295,0.728095,0.963249,4
P5,centrist,C_PP_ADV,43,0.278967,0.793695,0.728095,0.963249,4
P5,centrist,D,43,1.000000,0.963249,0.728095,0.963249,4
P5,centrist,Z,44,0.202931,0.775815,0.728095,0.963249,4
P5,centrist,A,44,0.000000,0.582494,0.728095,0.963249,4
P5,centrist,C_CN,44,0.723781,0.898295,0.728095,0.963249,4
P5,centrist,C_CN_ADV,44,0.202931,0.775815,0.728095,0.963249,4
P5,centrist,C_PP,44,0.723781,0.898295,0.728095,0.963249,4
P5,centrist,C_PP_ADV,44,0.278967,0.793695,0.728095,0.963249,4
P5,centrist,D,44,1.000000,0.963249,0.728095,0.963249,4
P5,centrist,Z,45,0.000000,0.582494,0.728095,0.963249,4
P5,centrist,A,45,0.000000,0.582494,0.728095,0.963249,4
