mag_id,magnitude,base_cfg,condition,trial,gap_fraction,G_achieved,G_random,G_oracle
S2,0.05,centrist,D,16,1.000000,1.087498,0.830681,1.087498
S2,0.05,centrist,Z,17,0.197624,0.881434,0.830681,1.087498
S2,0.05,centrist,A,17,0.242377,0.892928,0.830681,1.087498
S2,0.05,centrist,C_CN,17,0.658055,0.999681,0.830681,1.087498
S2,0.05,centrist,C_PP,17,0.658055,0.999681,0.830681,1.087498
S2,0.05,centrist,D,17,1.000000,1.087498,0.830681,1.087498
S2,0.05,centrist,Z,18,0.000000,0.711174,0.830681,1.087498
S2,0.05,centrist,A,18,0.242377,0.892928,0.830681,1.087498
S2,0.05,centrist,C_CN,18,0.658055,0.999681,0.830681,1.087498
S2,0.05,centrist,C_PP,18,0.658055,0.999681,0.830681,1.087498
S2,0.05,centrist,D,18,1.000000,1.087498,0.830681,1.087498
S2,0.05,centrist,Z,19,0.058199,0.845628,0.830681,1.087498
S2,0.05,centrist,A,19,0.242377,0.892928,0.830681,1.087498
S2,0.05,centrist,C_CN,19,0.658055,0.999681,0.830681,1.087498
S2,0.05,centrist,C_PP,19,0.658055,0.999681,0.830681,1.087498
S2,0.05,centrist,D,19,1.000000,1.087498,0.830681,1.087498
S2,0.05,centrist,Z,20,0.000000,0.711174,0.830681,1.087498
S2,0.05,centrist,A,20,0.242377,0.892928,0.830681,1.087498
S2,0.05,centrist,C_CN,20,0.658055,0.999681,0.830681,1.087498
S2,0.05,centrist,C_PP,20,0.658055,0.999681,0.830681,1.087498
S2,0.05,centrist,D,20,1.000000,1.087498,0.830681,1.087498
S2,0.05,centrist,Z,21,0.336978,0.917223,0.830681,1.087498
S2,0.05,centrist,A,21,0.242377,0.892928,0.830681,1.087498
S2,0.05,centrist,C_CN,21,0.658055,0.999681,0.830681,1.087498
S2,0.05,centrist,C_PP,21,0.658055,0.999681,0.830681,1.087498
S2,0.05,centrist,D,21,1.000000,1.087498,0.830681,1.087498
S2,0.05,centrist,Z,22,0.000000,0.711174,0.830681,1.087498
S2,0.05,centrist,A,22,0.242377,0.892928,0.830681,1.087498
S2,0.05,centrist,C_CN,22,0.658055,0.999681,0.830681,1.087498
S2,0.05,centrist,C_PP,22,0.658055,0.999681,0.830681,1.087498
S2,0.05,centrist,D,22,1.000000,1.087498,0.830681,1.087498
S2,0.05,centrist,Z,23,0.242377,0.892928,0.830681,1.087498
S2,0.05,centrist,A,23,0.242377,0.892928,0.830681,1.087498
S2,0.05,centrist,C_CN,23,0.658055,0.999681,0.830681,1.087498
S2,0.05,centrist,C_PP,23,0.658055,0.999681,0.830681,1.087498
S2,0.05,centrist,D,23,1.000000,1.087498,0.830681,1.087498
S2,0.05,centrist,Z,24,0.242377,0.892928,0.830681,1.087498
S2,0.05,centrist,A,24,0.242377,0.892928,0.830681,1.087498
S2,0.05,centrist,C_CN,24,0.658055,0.999681,0.830681,1.087498
S2,0.05,centrist,C_PP,24,0.658055,0.999681,0.830681,1.087498
S2,0.05,centrist,D,24,1.000000,1.087498,0.830681,1.087498
S2,0.05,centrist,Z,25,0.000000,0.711174,0.830681,1.087498
S2,0.05,centrist,A,25,0.242377,0.892928,0.830681,1.087498
S2,0.05,centrist,C_CN,25,0.658055,0.999681,0.830681,1.087498
S2,0.05,centrist,C_PP,25,0.658055,0.999681,0.830681,1.087498
S2,0.05,centrist,D,25,1.000000,1.087498,0.830681,1.087498
