K,slate_type,spillover_config,condition,trial,gap_fraction,G_achieved,G_random,G_oracle
5,archetype,centrist,C_CN,30,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,C_PP,30,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,D,30,1.000000,1.057498,0.829481,1.057498
5,archetype,centrist,Z,31,0.000000,0.688188,0.829481,1.057498
5,archetype,centrist,A,31,0.278253,0.892928,0.829481,1.057498
5,archetype,centrist,C_CN,31,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,C_PP,31,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,D,31,1.000000,1.057498,0.829481,1.057498
5,archetype,centrist,Z,32,0.000000,0.688188,0.829481,1.057498
5,archetype,centrist,A,32,0.278253,0.892928,0.829481,1.057498
5,archetype,centrist,C_CN,32,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,C_PP,32,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,D,32,1.000000,1.057498,0.829481,1.057498
5,archetype,centrist,Z,33,0.000000,0.711174,0.829481,1.057498
5,archetype,centrist,A,33,0.278253,0.892928,0.829481,1.057498
5,archetype,centrist,C_CN,33,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,C_PP,33,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,D,33,1.000000,1.057498,0.829481,1.057498
5,archetype,centrist,Z,34,0.000000,0.711174,0.829481,1.057498
5,archetype,centrist,A,34,0.278253,0.892928,0.829481,1.057498
5,archetype,centrist,C_CN,34,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,C_PP,34,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,D,34,1.000000,1.057498,0.829481,1.057498
5,archetype,centrist,Z,35,0.000000,0.711174,0.829481,1.057498
5,archetype,centrist,A,35,0.278253,0.892928,0.829481,1.057498
5,archetype,centrist,C_CN,35,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,C_PP,35,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,D,35,1.000000,1.057498,0.829481,1.057498
5,archetype,centrist,Z,36,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,A,36,0.278253,0.892928,0.829481,1.057498
5,archetype,centrist,C_CN,36,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,C_PP,36,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,D,36,1.000000,1.057498,0.829481,1.057498
5,archetype,centrist,Z,37,0.000000,0.711174,0.829481,1.057498
5,archetype,centrist,A,37,0.278253,0.892928,0.829481,1.057498
5,archetype,centrist,C_CN,37,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,C_PP,37,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,D,37,1.000000,1.057498,0.829481,1.057498
5,archetype,centrist,Z,38,0.278253,0.892928,0.829481,1.057498
5,archetype,centrist,A,38,0.278253,0.892928,0.829481,1.057498
5,archetype,centrist,C_CN,38,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,C_PP,38,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,D,38,1.000000,1.057498,0.829481,1.057498
5,archetype,centrist,Z,39,0.227848,0.881434,0.829481,1.057498
5,archetype,centrist,A,39,0.278253,0.892928,0.829481,1.057498
