spillover_config,condition,trial,gap_fraction,G_achieved,G_random,G_oracle,n_llm_calls,cache_hit_rate
centrist,A,28,0.184662,0.880089,0.840460,1.055062,40,0.7143
centrist,C_CN,28,0.184662,0.880089,0.840460,1.055062,40,0.7143
centrist,A,29,0.231263,0.890089,0.840460,1.055062,40,0.7143
centrist,C_CN,29,0.231263,0.890089,0.840460,1.055062,40,0.7143
centrist,A,30,0.231263,0.890089,0.840460,1.055062,40,0.7143
centrist,C_CN,30,0.000000,0.694519,0.840460,1.055062,40,0.7143
centrist,A,31,0.231263,0.890089,0.840460,1.055062,40,0.7143
centrist,C_CN,31,0.231263,0.890089,0.840460,1.055062,40,0.7143
centrist,A,32,0.231263,0.890089,0.840460,1.055062,40,0.7143
centrist,C_CN,32,0.231263,0.890089,0.840460,1.055062,40,0.7143
centrist,A,33,0.231263,0.890089,0.840460,1.055062,40,0.7143
centrist,C_CN,33,0.000000,0.694519,0.840460,1.055062,40,0.7143
centrist,A,34,0.231263,0.890089,0.840460,1.055062,40,0.7143
centrist,C_CN,34,0.231263,0.890089,0.840460,1.055062,40,0.7143
centrist,A,35,0.231263,0.890089,0.840460,1.055062,40,0.7143
centrist,C_CN,35,0.231263,0.890089,0.840460,1.055062,40,0.7143
centrist,A,36,0.000000,0.802244,0.840460,1.055062,40,0.7143
centrist,C_CN,36,0.000000,0.802244,0.840460,1.055062,40,0.7143
centrist,A,37,0.231263,0.890089,0.840460,1.055062,40,0.7143
centrist,C_CN,37,0.231263,0.890089,0.840460,1.055062,40,0.7143
centrist,A,38,0.231263,0.890089,0.840460,1.055062,40,0.7143
centrist,C_CN,38,0.231263,0.890089,0.840460,1.055062,40,0.7143
centrist,A,39,0.231263,0.890089,0.840460,1.055062,40,0.7143
centrist,C_CN,39,0.231263,0.890089,0.840460,1.055062,40,0.7143
centrist,A,40,0.231263,0.890089,0.840460,1.055062,40,0.7143
centrist,C_CN,40,0.000000,0.694519,0.840460,1.055062,40,0.7143
centrist,A,41,0.231263,0.890089,0.840460,1.055062,40,0.7143
centrist,C_CN,41,0.231263,0.890089,0.840460,1.055062,40,0.7143
centrist,A,42,0.231263,0.890089,0.840460,1.055062,40,0.7143
centrist,C_CN,42,0.231263,0.890089,0.840460,1.055062,40,0.7143
centrist,A,43,0.231263,0.890089,0.840460,1.055062,40,0.7143
centrist,C_CN,43,0.231263,0.890089,0.840460,1.055062,40,0.7143
centrist,A,44,0.231263,0.890089,0.840460,1.055062,40,0.7143
centrist,C_CN,44,0.231263,0.890089,0.840460,1.055062,40,0.7143
centrist,A,45,0.231263,0.890089,0.840460,1.055062,40,0.7143
centrist,C_CN,45,0.231263,0.890089,0.840460,1.055062,40,0.7143
centrist,A,46,0.231263,0.890089,0.840460,1.055062,40,0.7143
centrist,C_CN,46,0.231263,0.890089,0.840460,1.055062,40,0.7143
centrist,A,47,0.231263,0.890089,0.840460,1.055062,40,0.7143
centrist,C_CN,47,0.231263,0.890089,0.840460,1.055062,40,0.7143
centrist,A,48,0.231263,0.890089,0.840460,1.055062,40,0.7143
centrist,C_CN,48,0.231263,0.890089,0.840460,1.055062,40,0.7143
centrist,A,49,0.231263,0.890089,0.840460,1.055062,40,0.7143
centrist,C_CN,49,0.231263,0.890089,0.840460,1.055062,40,0.7143
off_axis,A,0,0.373429,0.890089,0.840460,0.973362,0,1.0000
off_axis,C_CN,0,0.000000,0.694519,0.840460,0.973362,0,1.0000
off_axis,A,1,0.373429,0.890089,0.840460,0.973362,0,1.0000
off_axis,C_CN,1,0.373429,0.890089,0.840460,0.973362,0,1.0000
off_axis,A,2,0.373429,0.890089,0.840460,0.973362,0,1.0000
off_axis,C_CN,2,0.373429,0.890089,0.840460,0.973362,0,1.0000
off_axis,A,3,0.373429,0.890089,0.840460,0.973362,0,1.0000
off_axis,C_CN,3,0.373429,0.890089,0.840460,0.973362,0,1.0000
off_axis,A,4,0.373429,0.890089,0.840460,0.973362,0,1.0000
off_axis,C_CN,4,0.373429,0.890089,0.840460,0.973362,0,1.0000
off_axis,A,5,0.373429,0.890089,0.840460,0.973362,0,1.0000
off_axis,C_CN,5,0.373429,0.890089,0.840460,0.973362,0,1.0000
off_axis,A,6,0.373429,0.890089,0.840460,0.973362,0,1.0000
off_axis,C_CN,6,0.000000,0.694519,0.840460,0.973362,0,1.0000
off_axis,A,7,0.373429,0.890089,0.840460,0.973362,0,1.0000
off_axis,C_CN,7,0.373429,0.890089,0.840460,0.973362,0,1.0000
off_axis,A,8,0.373429,0.890089,0.840460,0.973362,0,1.0000
