dist_id,dist_label,spillover_config,condition,trial,gap_fraction,G_achieved,G_random,G_oracle,minority_welfare
P1,unimodal,centrist,D,14,1.000000,1.058737,0.832914,1.058737,0.858528
P1,unimodal,centrist,Z,15,0.000000,0.687678,0.832914,1.058737,0.363114
P1,unimodal,centrist,A,15,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_CN,15,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_PP,15,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,D,15,1.000000,1.058737,0.832914,1.058737,0.858528
P1,unimodal,centrist,Z,16,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,A,16,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_CN,16,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_PP,16,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,D,16,1.000000,1.058737,0.832914,1.058737,0.858528
P1,unimodal,centrist,Z,17,0.289687,0.898332,0.832914,1.058737,0.692773
P1,unimodal,centrist,A,17,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_CN,17,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_PP,17,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,D,17,1.000000,1.058737,0.832914,1.058737,0.858528
P1,unimodal,centrist,Z,18,0.289687,0.898332,0.832914,1.058737,0.692773
P1,unimodal,centrist,A,18,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_CN,18,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_PP,18,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,D,18,1.000000,1.058737,0.832914,1.058737,0.858528
P1,unimodal,centrist,Z,19,0.000000,0.687678,0.832914,1.058737,0.363114
P1,unimodal,centrist,A,19,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_CN,19,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_PP,19,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,D,19,1.000000,1.058737,0.832914,1.058737,0.858528
P1,unimodal,centrist,Z,20,0.000000,0.687678,0.832914,1.058737,0.363114
P1,unimodal,centrist,A,20,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_CN,20,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_PP,20,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,D,20,1.000000,1.058737,0.832914,1.058737,0.858528
P1,unimodal,centrist,Z,21,0.000000,0.718550,0.832914,1.058737,0.353534
P1,unimodal,centrist,A,21,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_CN,21,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_PP,21,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,D,21,1.000000,1.058737,0.832914,1.058737,0.858528
P1,unimodal,centrist,Z,22,0.221332,0.882896,0.832914,1.058737,0.698798
P1,unimodal,centrist,A,22,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_CN,22,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_PP,22,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,D,22,1.000000,1.058737,0.832914,1.058737,0.858528
P1,unimodal,centrist,Z,23,0.289687,0.898332,0.832914,1.058737,0.692773
P1,unimodal,centrist,A,23,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_CN,23,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_PP,23,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,D,23,1.000000,1.058737,0.832914,1.058737,0.858528
P1,unimodal,centrist,Z,24,0.060271,0.846525,0.832914,1.058737,0.648178
P1,unimodal,centrist,A,24,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_CN,24,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_PP,24,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,D,24,1.000000,1.058737,0.832914,1.058737,0.858528
P1,unimodal,centrist,Z,25,0.221332,0.882896,0.832914,1.058737,0.698798
P1,unimodal,centrist,A,25,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_CN,25,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_PP,25,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,D,25,1.000000,1.058737,0.832914,1.058737,0.858528
P1,unimodal,centrist,Z,26,0.000000,0.687678,0.832914,1.058737,0.363114
