spillover_config,condition,trial,gap_fraction,G_achieved,G_random,G_oracle
centrist,A,49,0.306475,0.906230,0.840460,1.055062
centrist,C_CN,49,0.793094,1.010660,0.840460,1.055062
centrist,C_PP,49,0.793094,1.010660,0.840460,1.055062
centrist,D,49,1.000000,1.055062,0.840460,1.055062
off_axis,Z,0,0.266154,0.875832,0.840460,0.973362
off_axis,A,0,0.494878,0.906230,0.840460,0.973362
off_axis,C_CN,0,0.904424,0.960660,0.840460,0.973362
off_axis,C_PP,0,0.904424,0.960660,0.840460,0.973362
off_axis,D,0,1.000000,0.973362,0.840460,0.973362
off_axis,Z,1,0.494878,0.906230,0.840460,0.973362
off_axis,A,1,0.494878,0.906230,0.840460,0.973362
off_axis,C_CN,1,0.904424,0.960660,0.840460,0.973362
off_axis,C_PP,1,0.904424,0.960660,0.840460,0.973362
off_axis,D,1,1.000000,0.973362,0.840460,0.973362
off_axis,Z,2,0.000000,0.775515,0.840460,0.973362
off_axis,A,2,0.494878,0.906230,0.840460,0.973362
off_axis,C_CN,2,0.904424,0.960660,0.840460,0.973362
off_axis,C_PP,2,0.904424,0.960660,0.840460,0.973362
off_axis,D,2,1.000000,0.973362,0.840460,0.973362
off_axis,Z,3,0.494878,0.906230,0.840460,0.973362
off_axis,A,3,0.494878,0.906230,0.840460,0.973362
off_axis,C_CN,3,0.904424,0.960660,0.840460,0.973362
off_axis,C_PP,3,0.904424,0.960660,0.840460,0.973362
off_axis,D,3,1.000000,0.973362,0.840460,0.973362
off_axis,Z,4,0.494878,0.906230,0.840460,0.973362
off_axis,A,4,0.494878,0.906230,0.840460,0.973362
off_axis,C_CN,4,0.904424,0.960660,0.840460,0.973362
off_axis,C_PP,4,0.904424,0.960660,0.840460,0.973362
off_axis,D,4,1.000000,0.973362,0.840460,0.973362
off_axis,Z,5,0.000000,0.694519,0.840460,0.973362
off_axis,A,5,0.494878,0.906230,0.840460,0.973362
off_axis,C_CN,5,0.904424,0.960660,0.840460,0.973362
off_axis,C_PP,5,0.904424,0.960660,0.840460,0.973362
off_axis,D,5,1.000000,0.973362,0.840460,0.973362
off_axis,Z,6,0.473243,0.903355,0.840460,0.973362
off_axis,A,6,0.494878,0.906230,0.840460,0.973362
off_axis,C_CN,6,0.904424,0.960660,0.840460,0.973362
off_axis,C_PP,6,0.904424,0.960660,0.840460,0.973362
off_axis,D,6,1.000000,0.973362,0.840460,0.973362
off_axis,Z,7,0.904424,0.960660,0.840460,0.973362
off_axis,A,7,0.494878,0.906230,0.840460,0.973362
off_axis,C_CN,7,0.904424,0.960660,0.840460,0.973362
off_axis,C_PP,7,0.904424,0.960660,0.840460,0.973362
off_axis,D,7,1.000000,0.973362,0.840460,0.973362
off_axis,Z,8,0.494878,0.906230,0.840460,0.973362
off_axis,A,8,0.494878,0.906230,0.840460,0.973362
off_axis,C_CN,8,0.904424,0.960660,0.840460,0.973362
off_axis,C_PP,8,0.904424,0.960660,0.840460,0.973362
off_axis,D,8,1.000000,0.973362,0.840460,0.973362
off_axis,Z,9,0.373429,0.890089,0.840460,0.973362
off_axis,A,9,0.494878,0.906230,0.840460,0.973362
off_axis,C_CN,9,0.904424,0.960660,0.840460,0.973362
off_axis,C_PP,9,0.904424,0.960660,0.840460,0.973362
off_axis,D,9,1.000000,0.973362,0.840460,0.973362
off_axis,Z,10,0.000000,0.694519,0.840460,0.973362
off_axis,A,10,0.494878,0.906230,0.840460,0.973362
off_axis,C_CN,10,0.904424,0.960660,0.840460,0.973362
off_axis,C_PP,10,0.904424,0.960660,0.840460,0.973362
off_axis,D,10,1.000000,0.973362,0.840460,0.973362
off_axis,Z,11,0.373429,0.890089,0.840460,0.973362
off_axis,A,11,0.494878,0.906230,0.840460,0.973362
off_axis,C_CN,11,0.904424,0.960660,0.840460,0.973362
off_axis,C_PP,11,0.904424,0.960660,0.840460,0.973362
off_axis,D,11,1.000000,0.973362,0.840460,0.973362
off_axis,Z,12,0.373429,0.890089,0.840460,0.973362
off_axis,A,12,0.494878,0.906230,0.840460,0.973362
off_axis,C_CN,12,0.904424,0.960660,0.840460,0.973362
off_axis,C_PP,12,0.904424,0.960660,0.840460,0.973362
off_axis,D,12,1.000000,0.973362,0.840460,0.973362
off_axis,Z,13,0.904424,0.960660,0.840460,0.973362
off_axis,A,13,0.494878,0.906230,0.840460,0.973362
off_axis,C_CN,13,0.904424,0.960660,0.840460,0.973362
off_axis,C_PP,13,0.904424,0.960660,0.840460,0.973362
off_axis,D,13,1.000000,0.973362,0.840460,0.973362
off_axis,Z,14,0.000000,0.726800,0.840460,0.973362
off_axis,A,14,0.494878,0.906230,0.840460,0.973362
off_axis,C_CN,14,0.904424,0.960660,0.840460,0.973362
off_axis,C_PP,14,0.904424,0.960660,0.840460,0.973362
off_axis,D,14,1.000000,0.973362,0.840460,0.973362
off_axis,Z,15,0.494878,0.906230,0.840460,0.973362
off_axis,A,15,0.494878,0.906230,0.840460,0.973362
off_axis,C_CN,15,0.904424,0.960660,0.840460,0.973362
off_axis,C_PP,15,0.904424,0.960660,0.840460,0.973362
off_axis,D,15,1.000000,0.973362,0.840460,0.973362
off_axis,Z,16,0.904424,0.960660,0.840460,0.973362
off_axis,A,16,0.494878,0.906230,0.840460,0.973362
off_axis,C_CN,16,0.904424,0.960660,0.840460,0.973362
off_axis,C_PP,16,0.904424,0.960660,0.840460,0.973362
off_axis,D,16,1.000000,0.973362,0.840460,0.973362
off_axis,Z,17,0.000000,0.694519,0.840460,0.973362
off_axis,A,17,0.494878,0.906230,0.840460,0.973362
off_axis,C_CN,17,0.904424,0.960660,0.840460,0.973362
off_axis,C_PP,17,0.904424,0.960660,0.840460,0.973362
off_axis,D,17,1.000000,0.973362,0.840460,0.973362
off_axis,Z,18,0.494878,0.906230,0.840460,0.973362
off_axis,A,18,0.494878,0.906230,0.840460,0.973362
off_axis,C_CN,18,0.904424,0.960660,0.840460,0.973362
off_axis,C_PP,18,0.904424,0.960660,0.840460,0.973362
off_axis,D,18,1.000000,0.973362,0.840460,0.973362
off_axis,Z,19,0.000000,0.767455,0.840460,0.973362
off_axis,A,19,0.494878,0.906230,0.840460,0.973362
off_axis,C_CN,19,0.904424,0.960660,0.840460,0.973362
off_axis,C_PP,19,0.904424,0.960660,0.840460,0.973362
off_axis,D,19,1.000000,0.973362,0.840460,0.973362
off_axis,Z,20,0.020065,0.843126,0.840460,0.973362
off_axis,A,20,0.494878,0.906230,0.840460,0.973362
off_axis,C_CN,20,0.904424,0.960660,0.840460,0.973362
off_axis,C_PP,20,0.904424,0.960660,0.840460,0.973362
off_axis,D,20,1.000000,0.973362,0.840460,0.973362
off_axis,Z,21,0.494878,0.906230,0.840460,0.973362
off_axis,A,21,0.494878,0.906230,0.840460,0.973362
off_axis,C_CN,21,0.904424,0.960660,0.840460,0.973362
off_axis,C_PP,21,0.904424,0.960660,0.840460,0.973362
off_axis,D,21,1.000000,0.973362,0.840460,0.973362
off_axis,Z,22,0.494878,0.906230,0.840460,0.973362
off_axis,A,22,0.494878,0.906230,0.840460,0.973362
off_axis,C_CN,22,0.904424,0.960660,0.840460,0.973362
off_axis,C_PP,22,0.904424,0.960660,0.840460,0.973362
off_axis,D,22,1.000000,0.973362,0.840460,0.973362
off_axis,Z,23,0.269048,0.876217,0.840460,0.973362
off_axis,A,23,0.494878,0.906230,0.840460,0.973362
off_axis,C_CN,23,0.904424,0.960660,0.840460,0.973362
off_axis,C_PP,23,0.904424,0.960660,0.840460,0.973362
off_axis,D,23,1.000000,0.973362,0.840460,0.973362
off_axis,Z,24,0.000000,0.812731,0.840460,0.973362
off_axis,A,24,0.494878,0.906230,0.840460,0.973362
off_axis,C_CN,24,0.904424,0.960660,0.840460,0.973362
off_axis,C_PP,24,0.904424,0.960660,0.840460,0.973362
off_axis,D,24,1.000000,0.973362,0.840460,0.973362
off_axis,Z,25,0.373429,0.890089,0.840460,0.973362
off_axis,A,25,0.494878,0.906230,0.840460,0.973362
off_axis,C_CN,25,0.904424,0.960660,0.840460,0.973362
off_axis,C_PP,25,0.904424,0.960660,0.840460,0.973362
off_axis,D,25,1.000000,0.973362,0.840460,0.973362
off_axis,Z,26,0.152573,0.860737,0.840460,0.973362
off_axis,A,26,0.494878,0.906230,0.840460,0.973362
off_axis,C_CN,26,0.904424,0.960660,0.840460,0.973362
off_axis,C_PP,26,0.904424,0.960660,0.840460,0.973362
off_axis,D,26,1.000000,0.973362,0.840460,0.973362
off_axis,Z,27,0.221561,0.869906,0.840460,0.973362
off_axis,A,27,0.494878,0.906230,0.840460,0.973362
off_axis,C_CN,27,0.904424,0.960660,0.840460,0.973362
off_axis,C_PP,27,0.904424,0.960660,0.840460,0.973362
off_axis,D,27,1.000000,0.973362,0.840460,0.973362
off_axis,Z,28,0.000000,0.726800,0.840460,0.973362
off_axis,A,28,0.494878,0.906230,0.840460,0.973362
off_axis,C_CN,28,0.904424,0.960660,0.840460,0.973362
off_axis,C_PP,28,0.904424,0.960660,0.840460,0.973362
off_axis,D,28,1.000000,0.973362,0.840460,0.973362
off_axis,Z,29,0.000000,0.694519,0.840460,0.973362
off_axis,A,29,0.494878,0.906230,0.840460,0.973362
off_axis,C_CN,29,0.904424,0.960660,0.840460,0.973362
off_axis,C_PP,29,0.904424,0.960660,0.840460,0.973362
off_axis,D,29,1.000000,0.973362,0.840460,0.973362
off_axis,Z,30,0.000000,0.694519,0.840460,0.973362
off_axis,A,30,0.494878,0.906230,0.840460,0.973362
off_axis,C_CN,30,0.904424,0.960660,0.840460,0.973362
off_axis,C_PP,30,0.904424,0.960660,0.840460,0.973362
off_axis,D,30,1.000000,0.973362,0.840460,0.973362
off_axis,Z,31,0.000000,0.726800,0.840460,0.973362
off_axis,A,31,0.494878,0.906230,0.840460,0.973362
off_axis,C_CN,31,0.904424,0.960660,0.840460,0.973362
off_axis,C_PP,31,0.904424,0.960660,0.840460,0.973362
off_axis,D,31,1.000000,0.973362,0.840460,0.973362
off_axis,Z,32,0.000000,0.726800,0.840460,0.973362
