spillover_config,condition,trial,gap_fraction,G_achieved,G_random,G_oracle,n_attacked_bundles
centrist,C_PP,18,0.746434,0.999681,0.829481,1.057498,4
centrist,C_PP_ADV,18,0.227848,0.881434,0.829481,1.057498,4
centrist,D,18,1.000000,1.057498,0.829481,1.057498,4
centrist,Z,19,0.746434,0.999681,0.829481,1.057498,4
centrist,A,19,0.278253,0.892928,0.829481,1.057498,4
centrist,C_CN,19,0.746434,0.999681,0.829481,1.057498,4
centrist,C_CN_ADV,19,0.278253,0.892928,0.829481,1.057498,4
centrist,C_PP,19,0.746434,0.999681,0.829481,1.057498,4
centrist,C_PP_ADV,19,0.227848,0.881434,0.829481,1.057498,4
centrist,D,19,1.000000,1.057498,0.829481,1.057498,4
centrist,Z,20,0.227848,0.881434,0.829481,1.057498,4
centrist,A,20,0.278253,0.892928,0.829481,1.057498,4
centrist,C_CN,20,0.746434,0.999681,0.829481,1.057498,4
centrist,C_CN_ADV,20,0.278253,0.892928,0.829481,1.057498,4
centrist,C_PP,20,0.746434,0.999681,0.829481,1.057498,4
centrist,C_PP_ADV,20,0.278253,0.892928,0.829481,1.057498,4
centrist,D,20,1.000000,1.057498,0.829481,1.057498,4
centrist,Z,21,0.000000,0.688188,0.829481,1.057498,5
centrist,A,21,0.278253,0.892928,0.829481,1.057498,5
centrist,C_CN,21,0.746434,0.999681,0.829481,1.057498,5
centrist,C_CN_ADV,21,0.278253,0.892928,0.829481,1.057498,5
centrist,C_PP,21,0.746434,0.999681,0.829481,1.057498,5
centrist,C_PP_ADV,21,0.227848,0.881434,0.829481,1.057498,5
centrist,D,21,1.000000,1.057498,0.829481,1.057498,5
centrist,Z,22,0.746434,0.999681,0.829481,1.057498,4
centrist,A,22,0.278253,0.892928,0.829481,1.057498,4
centrist,C_CN,22,0.746434,0.999681,0.829481,1.057498,4
centrist,C_CN_ADV,22,0.278253,0.892928,0.829481,1.057498,4
centrist,C_PP,22,0.746434,0.999681,0.829481,1.057498,4
centrist,C_PP_ADV,22,0.227848,0.881434,0.829481,1.057498,4
centrist,D,22,1.000000,1.057498,0.829481,1.057498,4
centrist,Z,23,0.278253,0.892928,0.829481,1.057498,3
centrist,A,23,0.278253,0.892928,0.829481,1.057498,3
centrist,C_CN,23,0.746434,0.999681,0.829481,1.057498,3
centrist,C_CN_ADV,23,0.278253,0.892928,0.829481,1.057498,3
centrist,C_PP,23,0.746434,0.999681,0.829481,1.057498,3
centrist,C_PP_ADV,23,0.278253,0.892928,0.829481,1.057498,3
centrist,D,23,1.000000,1.057498,0.829481,1.057498,3
centrist,Z,24,0.746434,0.999681,0.829481,1.057498,4
centrist,A,24,0.278253,0.892928,0.829481,1.057498,4
centrist,C_CN,24,0.746434,0.999681,0.829481,1.057498,4
centrist,C_CN_ADV,24,0.278253,0.892928,0.829481,1.057498,4
centrist,C_PP,24,0.746434,0.999681,0.829481,1.057498,4
centrist,C_PP_ADV,24,0.227848,0.881434,0.829481,1.057498,4
centrist,D,24,1.000000,1.057498,0.829481,1.057498,4
centrist,Z,25,0.227848,0.881434,0.829481,1.057498,4
centrist,A,25,0.278253,0.892928,0.829481,1.057498,4
centrist,C_CN,25,0.746434,0.999681,0.829481,1.057498,4
centrist,C_CN_ADV,25,0.050251,0.840939,0.829481,1.057498,4
centrist,C_PP,25,0.746434,0.999681,0.829481,1.057498,4
centrist,C_PP_ADV,25,0.050251,0.840939,0.829481,1.057498,4
centrist,D,25,1.000000,1.057498,0.829481,1.057498,4
centrist,Z,26,0.000000,0.688188,0.829481,1.057498,4
centrist,A,26,0.278253,0.892928,0.829481,1.057498,4
centrist,C_CN,26,0.746434,0.999681,0.829481,1.057498,4
centrist,C_CN_ADV,26,0.397186,0.920046,0.829481,1.057498,4
centrist,C_PP,26,0.746434,0.999681,0.829481,1.057498,4
centrist,C_PP_ADV,26,0.397186,0.920046,0.829481,1.057498,4
centrist,D,26,1.000000,1.057498,0.829481,1.057498,4
centrist,Z,27,0.000000,0.688188,0.829481,1.057498,3
