date,ticker,open,high,low,close
2025-01-21,INTC,22.03,22.41,21.75,21.77
2025-01-21,JNJ,141.6057,142.8533,141.1163,142.1719
2025-01-21,JPM,253.5469,257.6221,252.9912,256.4327
2025-01-21,KO,60.6802,60.9985,60.1014,60.2171
2025-01-21,MA,523.7308,526.0335,522.9863,524.1278
2025-01-21,MCD,270.9986,273.0641,269.0391,272.7842
2025-01-21,META,615.361,619.0164,606.5763,613.9965
2025-01-21,MRK,93.8314,94.0131,91.6119,92.0711
2025-01-21,MSFT,425.1564,425.8482,420.6104,423.4763
2025-01-21,NFLX,86.353,91.64,85.475,86.968
2025-01-21,NVDA,138.9525,141.6185,136.8855,140.62
2025-01-21,PEP,139.8954,141.263,139.3673,140.1029
2025-01-21,PFE,23.865,24.0365,23.8109,24.0365
2025-01-21,PG,154.5476,155.8822,154.5476,155.2773
2025-01-21,SPY,592.0811,594.4369,590.1097,594.4271
2025-01-21,TSLA,432.64,433.2,406.31,424.07
2025-01-21,UNH,497.8247,508.4291,496.6335,508.4194
2025-01-21,V,316.7399,320.9623,316.4333,320.0229
2025-01-21,WMT,91.2414,92.9779,91.0737,91.8334
2025-01-21,XOM,106.6437,106.7674,105.7681,106.0917
2025-01-22,AAPL,218.3946,222.6971,218.3946,222.409
2025-01-22,AMD,123.08,125.65,121.91,123.75
2025-01-22,AMZN,232.02,235.44,231.19,235.01
2025-01-22,BAC,45.055,45.1807,44.2429,44.2719
2025-01-22,COST,943.6318,944.3362,931.7376,937.154
2025-01-22,CSCO,59.2709,59.97,59.2224,59.8438
2025-01-22,CVX,147.88,148.5927,146.5576,146.6889
2025-01-22,DIS,108.3517,108.3517,107.0462,107.6198
2025-01-22,GOOGL,198.0257,199.4383,196.5036,197.3392
2025-01-22,GS,614.8118,616.9082,611.1915,614.1226
2025-01-22,HD,401.6748,401.6748,393.7673,394.5081
2025-01-22,INTC,21.73,22.29,21.57,21.86
2025-01-22,JNJ,138.1894,139.6001,136.3756,139.4081
2025-01-22,JPM,256.3059,256.7739,253.7224,256.2474
2025-01-22,KO,59.9277,60.0917,59.484,59.5997
2025-01-22,MA,524.0683,526.3512,521.7556,523.2544
2025-01-22,MCD,273.4502,273.6722,270.651,271.568
2025-01-22,META,620.8091,631.1676,616.9546,621.0083
2025-01-22,MRK,91.8032,92.7982,91.0283,91.5353
2025-01-22,MSFT,432.4301,442.0262,430.8884,440.9688
2025-01-22,NFLX,99.803,99.9,95.076,95.399
2025-01-22,NVDA,144.4443,147.5696,143.4557,146.8507
2025-01-22,PEP,139.8011,140.9517,139.3861,139.6691
2025-01-22,PFE,23.9192,24.0004,23.4319,23.468
2025-01-22,PG,160.443,161.4415,157.8889,158.177
2025-01-22,SPY,597.256,599.1289,596.704,597.7686
2025-01-22,TSLA,416.81,428.0,414.59,415.11
2025-01-22,UNH,505.1944,507.8867,499.7131,503.3157
2025-01-22,V,321.1501,322.1093,318.7868,319.9536
2025-01-22,WMT,92.5142,92.7411,91.2809,91.9814
2025-01-22,XOM,105.8347,106.1869,104.1216,104.2453
2025-01-23,AAPL,223.3133,225.5887,220.8887,222.2401
2025-01-23,AMD,121.43,123.71,120.63,123.04
2025-01-23,AMZN,234.1,235.52,231.51,235.42
2025-01-23,BAC,44.5233,45.3354,44.5233,44.852
2025-01-23,COST,934.1681,935.8545,929.0096,934.6343
2025-01-23,CSCO,60.0089,60.5138,59.6011,60.4264
2025-01-23,CVX,147.833,148.1238,145.948,146.3137
2025-01-23,DIS,107.3132,109.8551,107.3033,109.8254
2025-01-23,GOOGL,197.1105,199.2592,194.1857,196.9513
2025-01-23,GS,616.2482,626.5559,615.8309,620.6935
2025-01-23,HD,395.9222,398.9235,393.2094,398.6349
2025-01-23,INTC,21.69,21.75,21.35,21.57
2025-01-23,JNJ,139.5713,141.9416,138.9667,140.7229
2025-01-23,JPM,258.051,260.1666,257.1931,259.2794
2025-01-23,KO,59.619,59.7927,59.2042,59.3585
2025-01-23,MA,525.1105,530.371,524.7432,530.2419
2025-01-23,MCD,270.9889,275.0911,270.8924,274.541
2025-01-23,META,624.8529,634.056,618.6678,633.9066
2025-01-23,MRK,91.9467,92.9512,91.0953,92.4442
2025-01-23,MSFT,436.8181,441.5124,436.3239,441.4728
2025-01-23,NFLX,95.781,98.5,95.39,98.486
2025-01-23,NVDA,144.8337,147.0105,143.5057,147.0005
