condition,persona_config,adversarial,seed,winner,alliance_win,turns,vp_p1,vp_p2,vp_p3,vp_p4
b,default,False,5,P1,True,29,7,3,4,2
b,default,False,6,P2,True,38,2,7,3,3
b,default,False,7,P1,True,49,7,5,5,5
b,default,False,8,P4,False,36,4,3,3,7
b,default,False,9,P4,False,28,3,2,5,7
b,default,False,10,P1,True,29,7,2,5,4
b,default,False,11,P4,False,76,5,4,6,7
b,default,False,12,P3,False,35,4,4,7,5
b,default,False,13,P3,False,55,5,2,7,3
b,default,False,14,P1,True,33,7,2,3,4
b,default,False,15,P4,False,76,6,5,6,7
b,default,False,16,P1,True,37,7,2,5,6
b,default,False,17,P1,True,81,7,5,6,5
b,default,False,18,P3,False,59,2,2,7,6
b,default,False,19,P1,True,65,7,2,6,4
b,default,False,20,P3,False,47,5,2,7,4
b,default,False,21,P3,False,67,6,4,7,5
b,default,False,22,P3,False,47,2,5,7,3
b,default,False,23,P3,False,59,5,5,7,5
b,default,False,24,P3,False,47,4,6,8,2
b,default,False,25,P1,True,33,7,2,5,3
b,default,False,26,P2,True,42,2,7,6,5
b,default,False,27,P1,True,49,7,3,6,3
b,default,False,28,P4,False,60,4,6,5,7
b,default,False,29,P3,False,51,6,3,7,3
b,sym_aggressive,False,0,P3,False,47,4,2,7,4
b,sym_aggressive,False,1,P2,True,90,5,7,6,5
b,sym_aggressive,False,2,P2,True,42,5,7,5,5
b,sym_aggressive,False,3,P3,False,47,4,2,7,2
b,sym_aggressive,False,4,P1,True,49,7,3,3,3
b,sym_aggressive,False,5,P3,False,55,5,4,7,5
b,sym_aggressive,False,6,P4,False,32,2,2,4,7
b,sym_aggressive,False,7,P1,True,45,7,2,3,5
b,sym_aggressive,False,8,P3,False,31,6,2,7,4
b,sym_aggressive,False,9,P3,False,55,5,2,7,3
b,sym_aggressive,False,10,P3,False,51,5,3,7,4
b,sym_aggressive,False,11,P3,False,51,4,3,7,3
b,sym_aggressive,False,12,P3,False,55,3,4,7,3
b,sym_aggressive,False,13,P3,False,39,4,2,7,3
b,sym_aggressive,False,14,P3,False,35,5,3,7,3
b,sym_aggressive,False,15,P3,False,51,6,4,7,6
b,sym_aggressive,False,16,P1,True,45,7,2,4,5
b,sym_aggressive,False,17,P3,False,63,6,3,7,3
b,sym_aggressive,False,18,P3,False,59,6,3,9,3
b,sym_aggressive,False,19,P3,False,51,6,3,8,3
b,sym_aggressive,False,20,P3,False,47,5,3,7,5
b,sym_aggressive,False,21,P1,True,69,7,3,5,6
b,sym_aggressive,False,22,P3,False,39,3,2,7,3
b,sym_aggressive,False,23,P2,True,42,6,7,4,4
b,sym_aggressive,False,24,P4,False,44,3,2,5,7
b,sym_aggressive,False,25,P1,True,37,7,3,3,3
b,sym_aggressive,False,26,P3,False,43,3,6,7,6
b,sym_aggressive,False,27,P3,False,31,2,2,7,4
b,sym_aggressive,False,28,P3,False,47,4,2,7,2
b,sym_aggressive,False,29,P3,False,27,5,3,7,3
b,sym_conservative,False,0,P3,False,91,3,4,7,6
b,sym_conservative,False,1,P3,False,39,4,3,8,5
b,sym_conservative,False,2,P1,True,37,7,4,4,5
b,sym_conservative,False,3,P4,False,40,5,3,4,7
b,sym_conservative,False,4,P4,False,48,5,2,4,7
b,sym_conservative,False,5,P1,True,21,7,3,2,6
b,sym_conservative,False,6,P4,False,56,4,5,6,7
b,sym_conservative,False,7,P3,False,51,6,2,7,6
b,sym_conservative,False,8,P3,False,47,5,4,7,3
b,sym_conservative,False,9,P3,False,43,4,4,7,2
b,sym_conservative,False,10,P1,True,53,7,2,5,3
b,sym_conservative,False,11,P3,False,47,4,3,7,4
b,sym_conservative,False,12,P3,False,31,2,4,7,3
b,sym_conservative,False,13,P4,False,32,5,3,2,7
b,sym_conservative,False,14,P3,False,67,3,3,9,5
b,sym_conservative,False,15,P3,False,47,5,2,7,5
b,sym_conservative,False,16,P4,False,48,4,4,5,7
b,sym_conservative,False,17,P1,True,29,8,4,6,4
b,sym_conservative,False,18,P1,True,33,7,2,3,5
b,sym_conservative,False,19,P4,False,44,4,2,3,7
b,sym_conservative,False,20,P4,False,56,6,4,6,7
b,sym_conservative,False,21,P3,False,55,3,5,7,5
