sha,files,py_files,test_files,py_loc,a_added,a_deleted,a_py_added,a_py_deleted,a_py_ins,a_py_del
a79a63390bc963e5924021086744e53585566307,90,35,14,9747,0,0,0,0,0,0
6f81e78dfe0b7419bde97cae594febfffab8e431,90,35,14,9747,0,0,0,0,1,1
4983a9bde39c6320aa4f3e34e50dac6e263dab6f,90,35,14,9747,0,0,0,0,0,0
0b6c110a5cd65685c42702b27e2872ad9c234ab8,90,35,14,9749,0,0,0,0,3,1
9a2e5df000691ad28613524ca7f80aa28a94a8d5,90,35,14,9749,0,0,0,0,1,1
589a82256759018a7e5e289302898dae32544949,90,35,14,9749,0,0,0,0,0,0
a4c18cd733f97b5659a29589432d8a39e7a0de87,90,35,14,9749,0,0,0,0,1,1
bf582192b828fba84c5a81d2524e185ab98ecb7d,90,35,14,9749,0,0,0,0,0,0
9f55e4bc09b1c4ce186f8fe63d711fc74eec5c6f,90,35,14,9749,0,0,0,0,0,0
d79024f246d1037c4196da6027c2c2be08719c8d,90,35,14,9749,0,0,0,0,11,11
dd15e5284035b4a3e44bcdf8d6fdfe63ac77dcc7,90,35,14,9749,0,0,0,0,3,3
0fe6653eabc3e0a4b8c48e374fb7ee83a3bf829b,90,35,14,9750,0,0,0,0,3,2
11ed88bcb2748f4ce7924e95ae47a9c0b87d6af4,90,35,14,9746,0,0,0,0,1,5
42c5a4f62268dd6e0499aac02a2ef481286e5798,90,35,14,9701,0,0,0,0,13,58
67a7b2e8336951d527e223429672354989384197,90,35,14,9759,0,0,0,0,61,3
1b450d2038b276a3e0921389bed515f71bad60f4,90,35,14,9759,0,0,0,0,0,0
5eb73374945823748920758c44b9b747cef0c93e,89,35,14,9759,0,1,0,0,0,0
8086ffdbbfc1e1f80c358ae9047c97c37b6b47bb,89,35,14,9763,0,0,0,0,4,0
bbc3d43522bcb1363050557655508d66bfebcfcf,89,35,14,9769,0,0,0,0,13,7
82c744b59c4cd8c6bc5303a8ed7c892b6490b888,89,35,14,9776,0,0,0,0,8,1
ada50499a0de44219a581ade3e8cebfa5c7334e4,89,35,14,9776,0,0,0,0,0,0
3e7d0a873f838e0001f7ac69b1987147128a7b5f,89,35,14,9782,0,0,0,0,14,8
a71e2240dfcf9609a50b09e12becd9f4b29fcde7,89,35,14,9816,0,0,0,0,34,0
428f7a275914f60a8f1e76a7d69516d617433d30,89,35,14,9816,0,0,0,0,1,1
7ca0e86a6752a5a763e5e82d94f34a522a976708,89,35,14,9816,0,0,0,0,0,0
d41fba63477c97559e5454d5f57e53fa17c9fdaa,89,35,14,9816,0,0,0,0,0,0
339323230400970717e369e42635be5a97a73c37,89,35,14,9816,0,0,0,0,0,0
00fa902c7de4f3722fbfb6cec89f828c912c03fa,89,35,14,9816,0,0,0,0,0,0
1f9ec06e224faa0be23eb7959fab347e8374ba73,89,35,14,9816,0,0,0,0,0,0
04b5c837015b1182c5ce315d3656c0e6e7397e4d,89,35,14,9816,0,0,0,0,0,0
7f2513fb817a541a341360e0925babb35ff6e863,89,35,14,9816,0,0,0,0,0,0
10e5f874c717b553f4c021aeb25f1a10f83067ea,89,35,14,9816,0,0,0,0,0,0
b248328eb3f0d698ab0845db73fb73a32520175f,89,35,14,9816,0,0,0,0,0,0
7f3ce7eaac9ad5b60b75710c3d95e63255f85d5f,89,35,14,9816,0,0,0,0,0,0
72ca1b7e314ede0ff57ebe7ec13310be50a052ab,89,35,14,9816,0,0,0,0,0,0
e2fce5e60c23308b41838a74d45a0e3f77b32843,89,35,14,9816,0,0,0,0,0,0
d258b20eba81447a94ea17a40a7e3b45854eb9ab,88,35,14,9816,0,1,0,0,0,0
bedb1cd38fc363d78484ef1ce8240c76ec36fbef,88,35,14,9816,0,0,0,0,0,0
ced3779126326b0da4a0fff47dbd8cc182119b16,88,35,14,9816,0,0,0,0,0,0
b98be047f2cb2aac42b32f79d089f0067ff4f86f,88,35,14,9816,0,0,0,0,0,0
b1d584e899dd423fa3882eddf154ba3c1a1fdd4d,88,35,14,9816,0,0,0,0,0,0
bc81ee3af47571d6a6aeb23dc7af74e252f015ed,88,35,14,9817,0,0,0,0,1,0
3c01cd708033295c65be3fd85dea9d453506c854,88,35,14,9817,0,0,0,0,0,0
e320f9e467c9a769a6accc453bc26438b32e5b94,88,35,14,9817,0,0,0,0,0,0
913adced21816f8bb34abb8adc1ca01a4e9d8431,88,35,14,9817,0,0,0,0,0,0
b6b90f4d9bd447c8ae41cd31d75547fdafc25159,88,35,14,9817,0,0,0,0,0,0
3d968ff34dd9945f2a86396001408ba69c1ab3fd,88,35,14,9817,0,0,0,0,0,0
d7018e6d610dcf283e6c63a364b5f745be5c5b43,89,35,14,9817,1,0,0,0,0,0
da13fec6ce8fdd7a5322ca3b22594b23554d8122,90,35,14,9817,1,0,0,0,0,0
5090ba79ac6393421a0cf01120e334d9b3c3f56b,91,35,14,9817,1,0,0,0,0,0
6c322457a219f9f18e3aa8ed83ad1326aa565210,91,35,14,9817,0,0,0,0,0,0
6b639bbc082024801a6ec31d32157da12af0d957,91,35,14,9817,0,0,0,0,0,0
266d17c4def3edd1d02cd7ee1f8987dc429c10c1,91,35,14,9817,0,0,0,0,0,0
c13ccd11f6bb24d043016a2fe521f0db251b80ab,91,35,14,9817,0,0,0,0,0,0
3e012c16c39e832aad9f80f9c147edb51d99e0ff,91,35,14,9817,0,0,0,0,0,0
5f3b95992b2d2e451e7feae8e1243a08ac423951,91,35,14,9817,0,0,0,0,0,0
55d3d8b3b2a908765fd3d107b7bfd2651fea13a2,91,35,14,9817,0,0,0,0,0,0
1c19e6148f9a5bcad2be25d27759bc94275b0ccd,91,35,14,9817,0,0,0,0,0,0
0b2517465d0dbf04f33fcf577f93f437d1b5c5b6,91,35,14,9817,0,0,0,0,0,0
547720883595bb592bf272e3d663f1b3eb8d19fb,91,35,14,9817,0,0,0,0,0,0
537ac3cf2205cde26de70df4dad7c2823a572f13,91,35,14,9817,0,0,0,0,0,0
25d1ffda8cc213733623a1957216b20890a84a25,91,35,14,9817,0,0,0,0,0,0
e0359b272513c4ff9921ded7ccb60e9ae480781e,91,35,14,9817,0,0,0,0,0,0
